id	name	BirthMonth	BirthYear	BirthDay
1	Lianne Waslin	APRIL	1999	1
2	Bryn Stoneham	NOVEMBER	2000	20
3	Hugibert Worsalls	NOVEMBER	2002	13
4	Adelle Andretti	JUNE	1999	5
5	Chere Thow	SEPTEMBER	2001	7
6	Monti Humphrys	FEBRUARY	1999	25
7	Darrin Duker	NOVEMBER	2000	11
8	Reeva Delepine	JANUARY	2000	25
9	Sylas Woodroffe	JUNE	2002	22
10	Hanni Warsop	APRIL	2000	5
11	Darlene Geikie	JULY	2000	11
12	Yorker Kulas	SEPTEMBER	2000	10
13	Filippo Lauritsen	FEBRUARY	2000	17
14	Angelle MacMeanma	FEBRUARY	2000	20
15	Harry Peckham	NOVEMBER	2002	13
16	Matelda Blaase	JULY	1999	16
17	Creighton Albion	SEPTEMBER	1999	23
18	Lorne Dillow	JUNE	2001	5
19	Freddy Gaw	SEPTEMBER	2002	20
20	Livvie Mosedall	SEPTEMBER	2001	2
21	Emmalee Waison	AUGUST	2000	7
22	Batsheva Wrightim	DECEMBER	1999	21
23	Elwira Gerleit	OCTOBER	2002	12
24	Urbano Ghelerdini	AUGUST	1999	8
25	Zebulen Roseburgh	MARCH	2000	21
26	Reidar Pedycan	FEBRUARY	2001	2
27	Ripley Marns	JULY	1999	8
28	Mercy Fiveash	JULY	1999	17
29	Evania Goghin	MAY	2000	14
30	Reeba Segeswoeth	JUNE	2001	14
31	Elwyn Pennycuick	JANUARY	2001	19
32	Allys Dorcey	JULY	2000	15
33	Juanita Searchwell	DECEMBER	2000	13
34	Flossie Goodredge	MAY	2000	10
35	Bron Furphy	AUGUST	2002	24
36	Donnie Krollmann	JANUARY	1999	1
37	Blair Tryhorn	NOVEMBER	2002	12
38	Gerianne Roast	SEPTEMBER	2002	6
39	Page Bailes	FEBRUARY	2001	15
40	Sherwood Cottee	OCTOBER	2001	13
41	Fabien Luckings	NOVEMBER	1999	1
42	Ddene Filde	MARCH	2000	18
43	Marlyn Entwistle	APRIL	2001	13
44	Nevsa Gherardini	NOVEMBER	1999	18
45	Lesly Cheal	MARCH	2001	2
46	Florance McGibbon	DECEMBER	2001	15
47	Ardath McLeod	OCTOBER	1999	9
48	Carmine Monelle	FEBRUARY	2000	17
49	Gaspard Guiett	MAY	2001	2
50	Natal Ashplant	MAY	1999	1
51	Shelia Strettle	AUGUST	2001	14
52	Arda Roome	MARCH	2000	15
53	Marshall Birch	OCTOBER	2000	5
54	Jenica Lethbrig	DECEMBER	2002	11
55	Penni Shackleford	AUGUST	1999	9
56	Demetri Thow	AUGUST	2000	21
57	Lin Annes	FEBRUARY	2000	9
58	Nell Leavy	DECEMBER	2002	10
59	Juana Ashment	DECEMBER	2002	19
60	Sheri Foster-Smith	MAY	2001	23
61	Florinda Vernon	MAY	1999	18
62	Courtney Allabarton	OCTOBER	1999	16
63	Benyamin Jencey	FEBRUARY	2002	18
64	Dyanna Plumer	JUNE	2002	1
65	Aile Sant	NOVEMBER	1999	19
66	Velvet Covill	MAY	2001	8
67	Paxton Nucator	APRIL	2002	6
68	Bronnie Featherbie	AUGUST	1999	16
69	Fonz Rizzardini	MARCH	2000	15
70	Isabelita Rawles	JANUARY	1999	14
71	Prissie Allain	DECEMBER	2000	20
72	Amelina Fowle	SEPTEMBER	2001	17
73	Wyn Pyzer	JUNE	1999	1
74	Abigael De Francisci	NOVEMBER	2002	15
75	Roberta Medley	AUGUST	2001	23
76	Easter MacAloren	NOVEMBER	2001	4
77	Noll Janata	AUGUST	2000	2
78	Peggy Langforth	MAY	2002	5
79	Killy Biasi	JANUARY	2002	22
80	Iolanthe Aspole	MARCH	1999	5
81	Ardeen Dodgshon	NOVEMBER	1999	23
82	Eilis Cawse	APRIL	2001	9
83	Brynne Hammant	OCTOBER	2002	13
84	Benedikta Billes	JUNE	2001	15
85	Thebault O'Bradden	AUGUST	2002	13
86	Chloette Kliesl	JANUARY	1999	2
87	Husein Tremolieres	OCTOBER	2001	4
88	Tamera Beavors	JANUARY	1999	5
89	Karlik Pogosian	JANUARY	2001	7
90	Nerta Macy	MARCH	2002	1
91	Eduino Revitt	SEPTEMBER	1999	13
92	Malachi Osment	AUGUST	2002	19
93	Cayla Soal	DECEMBER	2001	10
94	Loretta Brushneen	FEBRUARY	2001	25
95	Thatch Argue	OCTOBER	2001	10
96	Nedda Halwood	MAY	2001	4
97	Chery Gilffilland	OCTOBER	2002	19
98	Bealle Strathearn	MARCH	2001	14
99	Laurence William	OCTOBER	2002	23
100	Abe Harling	AUGUST	1999	25
101	Ive Jarrett	FEBRUARY	1999	25
102	Arleen Guirard	SEPTEMBER	2000	22
103	Dilan Howkins	FEBRUARY	2000	14
104	Taite Nelsen	OCTOBER	2002	25
105	Shane Tattersfield	MARCH	2001	4
106	Lorianna Breach	JUNE	2002	18
107	Wilfrid Castelin	DECEMBER	1999	7
108	Shanta Arnopp	FEBRUARY	2001	25
109	Corena Haycraft	JUNE	2000	8
110	Kiley Tootal	JANUARY	2001	17
111	Bette Cadney	NOVEMBER	2000	1
112	Tana Aberchirder	NOVEMBER	2000	5
113	Preston Jacson	JUNE	2001	19
114	Wendeline Sparling	FEBRUARY	2000	7
115	Donny Dillamore	NOVEMBER	2001	4
116	Kip Chapelhow	SEPTEMBER	2002	3
117	Lea Genty	SEPTEMBER	2001	20
118	Cobbie Petofi	JUNE	2001	9
119	Hube Dowall	JUNE	1999	11
120	Christoffer Falcus	AUGUST	2000	7
121	Gherardo Cords	NOVEMBER	2002	22
122	Joelly Mileham	JANUARY	2002	16
123	Belinda Cottem	SEPTEMBER	2002	15
124	Katee Letchmore	DECEMBER	2001	12
125	Wolfgang Upstell	DECEMBER	2001	2
126	Jermaine Dulanty	JANUARY	2000	4
127	Trumann Klaus	SEPTEMBER	2001	18
128	Whitaker Fortie	JANUARY	2000	3
129	Godwin Dinnies	JANUARY	1999	5
130	Imojean Foulser	APRIL	2002	15
131	Cassandra Scading	DECEMBER	2000	21
132	Shamus Olivo	JANUARY	1999	12
133	Nata Basten	FEBRUARY	2000	21
134	Jameson Girdler	APRIL	2002	3
135	Gail Bartosiak	JUNE	2001	10
136	Rosalinde Delagnes	APRIL	2000	5
137	Howey Pardie	AUGUST	2002	16
138	Clarey Knappitt	JULY	2002	21
139	Thorstein Griffey	APRIL	1999	18
140	Bell O'Rudden	DECEMBER	2001	19
141	Normy Barbary	MAY	2002	5
142	Justinn Powney	DECEMBER	2002	25
143	Chelsea Mallindine	JULY	2001	18
144	Perice Puttergill	JUNE	2000	2
145	Dilly Cluatt	SEPTEMBER	2000	21
146	Belia Beels	FEBRUARY	2002	4
147	Leontine Phizakarley	APRIL	2001	10
148	Murvyn Hughman	OCTOBER	2002	1
149	Norman Leif	DECEMBER	2002	23
150	Roch Thys	MARCH	1999	19
151	Wesley Boyson	JANUARY	2000	23
152	Clary St Louis	OCTOBER	2002	4
153	Marc Beloe	JUNE	2001	25
154	Caye Maurice	DECEMBER	2002	7
155	Minnaminnie Pickworth	AUGUST	1999	14
156	Alden Davidde	APRIL	2001	6
157	Derril Estrella	OCTOBER	1999	15
158	Fabe Bodell	MARCH	2000	18
159	Sile Brugden	APRIL	1999	17
160	Rheba Sworn	NOVEMBER	2000	1
161	Kile Pietri	JULY	2001	24
162	Gayel Dennehy	FEBRUARY	1999	7
163	Lynde Axel	NOVEMBER	1999	23
164	Barbe Wallbutton	FEBRUARY	2002	8
165	Barton Veysey	DECEMBER	1999	22
166	Barris Fancett	FEBRUARY	2002	7
167	Hernando Wassung	NOVEMBER	1999	13
168	Darryl Unthank	JUNE	2002	8
169	Dolley Verbeke	JULY	2002	10
170	Maure Itzchaki	NOVEMBER	2000	17
171	Shantee Lamplugh	JANUARY	1999	22
172	Richie Eliez	APRIL	2001	18
173	Skip Crocetti	OCTOBER	2002	18
174	Savina Petworth	MARCH	2001	18
175	Angeli Nehls	DECEMBER	2001	8
176	Calli Glyne	JANUARY	2000	6
177	Nichol Alelsandrowicz	APRIL	2002	4
178	Bald Tadd	MAY	2002	14
179	Bathsheba Reuble	JUNE	2002	20
180	Idalia Dandie	DECEMBER	2000	17
181	Kelly Petrashkov	SEPTEMBER	2001	11
182	Aigneis Cathenod	JANUARY	2001	5
183	Jimmy Airlie	OCTOBER	2002	8
184	Joyann Saw	NOVEMBER	2002	23
